"Crime_Type","Year","Region","Total_Crimes"
"Misdrijven, totaal","2010","Nederland",1200825
"Misdrijven, totaal","2011","Nederland",1206565
"Misdrijven, totaal","2012","Nederland",1154950
"Misdrijven, totaal","2013","Nederland",1105565
"Misdrijven, totaal","2014","Nederland",1025630
"Misdrijven, totaal","2015","Nederland",978945
"Misdrijven, totaal","2016","Nederland",930325
"Misdrijven, totaal","2017","Nederland",832950
"Misdrijven, totaal","2018","Nederland",786420
"Misdrijven, totaal","2019","Nederland",821905
"Misdrijven, totaal","2020","Nederland",813150
"Misdrijven, totaal","2021","Nederland",758065
"Misdrijven, totaal","2022","Nederland",810550
"Misdrijven, totaal","2023*","Nederland",816375
"Misdrijven, totaal","2024*","Nederland",811885
"Misdrijven, totaal","2010","Groningen (PV)",38320
"Misdrijven, totaal","2011","Groningen (PV)",37190
"Misdrijven, totaal","2012","Groningen (PV)",35875
"Misdrijven, totaal","2013","Groningen (PV)",34450
"Misdrijven, totaal","2014","Groningen (PV)",30715
"Misdrijven, totaal","2015","Groningen (PV)",30065
"Misdrijven, totaal","2016","Groningen (PV)",29570
"Misdrijven, totaal","2017","Groningen (PV)",24990
"Misdrijven, totaal","2018","Groningen (PV)",24065
"Misdrijven, totaal","2019","Groningen (PV)",24935
"Misdrijven, totaal","2020","Groningen (PV)",23830
"Misdrijven, totaal","2021","Groningen (PV)",23350
"Misdrijven, totaal","2022","Groningen (PV)",25390
"Misdrijven, totaal","2023*","Groningen (PV)",26885
"Misdrijven, totaal","2024*","Groningen (PV)",26030
"Misdrijven, totaal","2010","Fryslân (PV)",31795
"Misdrijven, totaal","2011","Fryslân (PV)",31950
"Misdrijven, totaal","2012","Fryslân (PV)",29905
"Misdrijven, totaal","2013","Fryslân (PV)",28760
"Misdrijven, totaal","2014","Fryslân (PV)",27620
"Misdrijven, totaal","2015","Fryslân (PV)",26585
"Misdrijven, totaal","2016","Fryslân (PV)",24600
"Misdrijven, totaal","2017","Fryslân (PV)",21140
"Misdrijven, totaal","2018","Fryslân (PV)",22010
"Misdrijven, totaal","2019","Fryslân (PV)",22260
"Misdrijven, totaal","2020","Fryslân (PV)",22135
"Misdrijven, totaal","2021","Fryslân (PV)",20380
"Misdrijven, totaal","2022","Fryslân (PV)",21135
