""," ","Werkloosheid (% van beroepsbevolking 15 tot 75 jaar)"
"1","1975",3.5
"2","1976",4.2
"3","1977",4.3
"4","1978",4.2
"5","1979",4.1
"6","1980",4.3
"7","1981",5.7
"8","1982",8
"9","1983",9.6
"10","1984",9.6
"11","1985",8.6
"12","1986",8.3
"13","1987",8.4
"14","1988",8.3
"15","1989",7.6
"16","1990",7
"17","1991",6.6
"18","1992",6.7
"19","1993",7.7
"20","1994",8.7
"21","1995",8.4
"22","1996",7.9
"23","1997",7
"24","1998",5.5
"25","1999",4.6
"26","2000",4.1
"27","2001",3.8
"28","2002",4.5
"29","2003",5.9
"30","2004",6.8
"31","2005",7
"32","2006",6.1
"33","2007",5.3
"34","2008",4.8
"35","2009",5.4
"36","2010",6.1
"37","2011",6
"38","2012",6.8
"39","2013",8.2
"40","2014",8.3
"41","2015",7.9
"42","2016",7
"43","2017",5.9
"44","2018",4.9
"45","2019",4.4
"46","2020",4.8
"47","2021",4.2
"48","2022",3.5
"49","2023",3.6
"50","2024",3.7
"51","2025",NA
"52","*Voorlopige cijfers",NA
