"","Volkstelling; oppervlakten, 1930","...2","...3","...4","...5"
"1",NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA
"3","Onderwerp","Oppervlakte","Oppervlakte","Oppervlakte","Oppervlakte"
"4","Oppervlakte","Totale oppervlakte","Oppervlakte grote wateren","Oppervlakte meren, plassen","Netto oppervlakte"
"5","Regio","hectare","hectare","hectare","hectare"
"6","Nederland","3418111","121092","40451","3256568"
"7","Groningen (provincie)","236849","6322","1038","229489"
"8","Friesland","333322","-","9562","323760"
"9","Drenthe","266630","-","350","266280"
"10","Overijssel","341182","1779","2639","336764"
"11","Gelderland","509130","97","6491","502542"
"12","Utrecht (provincie)","138604","-","2379","136225"
"13","Noord-Holland","279729","1522","4077","274130"
"14","Zuid-Holland","313739","12680","8556","292503"
"15","Zeeland","269516","90826","99","178591"
"16","Noord-Brabant","508899","7866","3828","497205"
"17","Limburg","220511","-","1432","219079"
"18","Bron: NIWI, CBS",NA,NA,NA,NA
