"","Perioden","Regio.s","Population"
"1","2013","Nederland",16779575
"2","2014","Nederland",16829289
"3","2015","Nederland",16900726
"4","2016","Nederland",16979120
"5","2017","Nederland",17081507
"6","2018","Nederland",17181084
"7","2019","Nederland",17282163
"8","2020","Nederland",17407585
"9","2021","Nederland",17475415
"10","2022","Nederland",17580672
"11","2023","Nederland",17811291
"12","2024*","Nederland",17942942
"13","2013","Groningen (PV)",581705
"14","2014","Groningen (PV)",582728
"15","2015","Groningen (PV)",583942
"16","2016","Groningen (PV)",583721
"17","2017","Groningen (PV)",583581
"18","2018","Groningen (PV)",582944
"19","2019","Groningen (PV)",583990
"20","2020","Groningen (PV)",585866
"21","2021","Groningen (PV)",586937
"22","2022","Groningen (PV)",590170
"23","2023","Groningen (PV)",596075
"24","2024*","Groningen (PV)",601347
"25","2013","Fryslân (PV)",646862
"26","2014","Fryslân (PV)",646317
"27","2015","Fryslân (PV)",646257
"28","2016","Fryslân (PV)",646040
"29","2017","Fryslân (PV)",646874
"30","2018","Fryslân (PV)",647268
"31","2019","Fryslân (PV)",647672
"32","2020","Fryslân (PV)",649957
"33","2021","Fryslân (PV)",651435
"34","2022","Fryslân (PV)",654019
"35","2023","Fryslân (PV)",659551
"36","2024*","Fryslân (PV)",661904
"37","2013","Drenthe (PV)",489918
"38","2014","Drenthe (PV)",488988
"39","2015","Drenthe (PV)",488576
"40","2016","Drenthe (PV)",488629
"41","2017","Drenthe (PV)",491792
"42","2018","Drenthe (PV)",492100
"43","2019","Drenthe (PV)",492167
"44","2020","Drenthe (PV)",493682
"45","2021","Drenthe (PV)",494771
"46","2022","Drenthe (PV)",497743
"47","2023","Drenthe (PV)",502051
"48","2024*","Drenthe (PV)",504129
"49","2013","Overijssel (PV)",1139350
"50","2014","Overijssel (PV)",1139697
"51","2015","Overijssel (PV)",1140652
"52","2016","Overijssel (PV)",1144280
"53","2017","Overijssel (PV)",1147687
"54","2018","Overijssel (PV)",1151501
"55","2019","Overijssel (PV)",1156431
"56","2020","Overijssel (PV)",1162406
"57","2021","Overijssel (PV)",1166533
"58","2022","Overijssel (PV)",1171910
"59","2023","Overijssel (PV)",1184333
"60","2024*","Overijssel (PV)",1189033
"61","2013","Flevoland (PV)",398441
"62","2014","Flevoland (PV)",399893
"63","2015","Flevoland (PV)",401791
"64","2016","Flevoland (PV)",404068
"65","2017","Flevoland (PV)",407818
"66","2018","Flevoland (PV)",411670
"67","2019","Flevoland (PV)",416546
"68","2020","Flevoland (PV)",423021
"69","2021","Flevoland (PV)",428226
"70","2022","Flevoland (PV)",434771
"71","2023","Flevoland (PV)",444701
"72","2024*","Flevoland (PV)",450826
"73","2013","Gelderland (PV)",2015791
"74","2014","Gelderland (PV)",2019692
"75","2015","Gelderland (PV)",2026578
"76","2016","Gelderland (PV)",2035351
"77","2017","Gelderland (PV)",2047901
"78","2018","Gelderland (PV)",2060103
"79","2019","Gelderland (PV)",2071972
"80","2020","Gelderland (PV)",2085952
"81","2021","Gelderland (PV)",2096603
"82","2022","Gelderland (PV)",2110472
"83","2023","Gelderland (PV)",2133708
"84","2024*","Gelderland (PV)",2149071
"85","2013","Utrecht (PV)",1245294
"86","2014","Utrecht (PV)",1253672
"87","2015","Utrecht (PV)",1263572
"88","2016","Utrecht (PV)",1273613
"89","2017","Utrecht (PV)",1284504
"90","2018","Utrecht (PV)",1295484
"91","2019","Utrecht (PV)",1342158
"92","2020","Utrecht (PV)",1354834
"93","2021","Utrecht (PV)",1361153
"94","2022","Utrecht (PV)",1369873
"95","2023","Utrecht (PV)",1387643
"96","2024*","Utrecht (PV)",1400057
"97","2013","Noord-Holland (PV)",2724300
"98","2014","Noord-Holland (PV)",2741369
"99","2015","Noord-Holland (PV)",2761929
"100","2016","Noord-Holland (PV)",2784854
"101","2017","Noord-Holland (PV)",2809483
"102","2018","Noord-Holland (PV)",2831182
"103","2019","Noord-Holland (PV)",2853359
"104","2020","Noord-Holland (PV)",2879527
"105","2021","Noord-Holland (PV)",2888486
"106","2022","Noord-Holland (PV)",2909827
"107","2023","Noord-Holland (PV)",2952622
"108","2024*","Noord-Holland (PV)",2976487
"109","2013","Zuid-Holland (PV)",3563935
"110","2014","Zuid-Holland (PV)",3577032
"111","2015","Zuid-Holland (PV)",3600011
"112","2016","Zuid-Holland (PV)",3622303
"113","2017","Zuid-Holland (PV)",3650222
"114","2018","Zuid-Holland (PV)",3681044
"115","2019","Zuid-Holland (PV)",3673893
"116","2020","Zuid-Holland (PV)",3708696
"117","2021","Zuid-Holland (PV)",3726050
"118","2022","Zuid-Holland (PV)",3753944
"119","2023","Zuid-Holland (PV)",3804906
"120","2024*","Zuid-Holland (PV)",3840460
"121","2013","Zeeland (PV)",381077
"122","2014","Zeeland (PV)",380621
"123","2015","Zeeland (PV)",380726
"124","2016","Zeeland (PV)",381252
"125","2017","Zeeland (PV)",381568
"126","2018","Zeeland (PV)",382304
"127","2019","Zeeland (PV)",383032
"128","2020","Zeeland (PV)",383488
"129","2021","Zeeland (PV)",385400
"130","2022","Zeeland (PV)",386767
"131","2023","Zeeland (PV)",391124
"132","2024*","Zeeland (PV)",391634
"133","2013","Noord-Brabant (PV)",2471011
"134","2014","Noord-Brabant (PV)",2479274
"135","2015","Noord-Brabant (PV)",2488751
"136","2016","Noord-Brabant (PV)",2498749
"137","2017","Noord-Brabant (PV)",2512531
"138","2018","Noord-Brabant (PV)",2528286
"139","2019","Noord-Brabant (PV)",2544806
"140","2020","Noord-Brabant (PV)",2562955
"141","2021","Noord-Brabant (PV)",2573949
"142","2022","Noord-Brabant (PV)",2592874
"143","2023","Noord-Brabant (PV)",2626210
"144","2024*","Noord-Brabant (PV)",2644739
"145","2013","Limburg (PV)",1121891
"146","2014","Limburg (PV)",1120006
"147","2015","Limburg (PV)",1117941
"148","2016","Limburg (PV)",1116260
"149","2017","Limburg (PV)",1117546
"150","2018","Limburg (PV)",1117198
"151","2019","Limburg (PV)",1116137
"152","2020","Limburg (PV)",1117201
"153","2021","Limburg (PV)",1115872
"154","2022","Limburg (PV)",1118302
"155","2023","Limburg (PV)",1128367
"156","2024*","Limburg (PV)",1133255
